SEXE;REG_NAF;TR_AGE;NB_POSTES;REMU_TOT_ANNU
F;01_B_S;00-29;1442250;25502
F;01_B_S;30-39;1598715;35400
F;01_B_S;40-49;1650342;38168
F;01_B_S;50-59;1519953;36093
F;01_B_S;60+;488749;36722
H;01_B_S;00-29;1875849;27017
H;01_B_S;30-39;2119016;41852
H;01_B_S;40-49;2120567;46960
H;01_B_S;50-59;2009823;49998
H;01_B_S;60+;562359;60822
F;01_B_S;E;6700009;34195
H;01_B_S;E;8687613;42996
E;01_B_S;00-29;3318099;26358
E;01_B_S;30-39;3717730;39075
E;01_B_S;40-49;3770909;43121
E;01_B_S;50-59;3529776;44004
E;01_B_S;60+;1051108;49679
E;01_B_S;E;15387622;39166
F;02_B_N;00-29;1146328;25877
F;02_B_N;30-39;1150335;38317
F;02_B_N;40-49;1187583;41640
F;02_B_N;50-59;1078520;39292
F;02_B_N;60+;329473;39782
H;02_B_N;00-29;1731948;27315
H;02_B_N;30-39;1940917;42803
H;02_B_N;40-49;1994562;47567
H;02_B_N;50-59;1861909;51033
H;02_B_N;60+;483078;63595
F;02_B_N;E;4892238;36505
H;02_B_N;E;8012413;43792
E;02_B_N;00-29;2878276;26743
E;02_B_N;30-39;3091252;41132
E;02_B_N;40-49;3182145;45364
E;02_B_N;50-59;2940428;46725
E;02_B_N;60+;812550;54033
E;02_B_N;E;12904651;41034
F;03_B_E;00-29;122904;26007
F;03_B_E;30-39;143178;41828
F;03_B_E;40-49;191912;46569
F;03_B_E;50-59;224169;41432
F;03_B_E;60+;35010;48923
F;07_G_N;00-29;1006363;25746
F;07_G_N;30-39;985806;37680
F;07_G_N;40-49;957690;40823
F;07_G_N;50-59;836420;38651
F;07_G_N;60+;286530;38254
F;16_O_S;00-29;295922;24051
F;16_O_S;30-39;448379;27916
F;16_O_S;40-49;462759;29346
F;16_O_S;50-59;441434;28323
F;16_O_S;60+;159277;30513
H;03_B_E;00-29;337238;28010
H;03_B_E;30-39;462012;41972
H;03_B_E;40-49;554922;48225
H;03_B_E;50-59;617770;49760
H;03_B_E;60+;120870;80784
H;07_G_N;00-29;1200645;27211
H;07_G_N;30-39;1247692;44218
H;07_G_N;40-49;1220537;48262
H;07_G_N;50-59;1065046;53126
H;07_G_N;60+;304704;61030
H;16_O_S;00-29;143901;23416
H;16_O_S;30-39;178099;31414
H;16_O_S;40-49;126005;37395
H;16_O_S;50-59;147915;37054
H;16_O_S;60+;79281;43977
F;03_B_E;E;717173;40604
F;07_G_N;E;4072809;35690
F;16_O_S;E;1807771;27977
H;03_B_E;E;2092812;45914
H;07_G_N;E;5038624;44024
H;16_O_S;E;675200;33546
E;03_B_E;00-29;460142;27475
E;03_B_E;30-39;605190;41938
E;03_B_E;40-49;746835;47797
E;03_B_E;50-59;841939;47544
E;03_B_E;60+;155880;73647
E;07_G_N;00-29;2207009;26543
E;07_G_N;30-39;2233498;41330
E;07_G_N;40-49;2178227;45011
E;07_G_N;50-59;1901466;46751
E;07_G_N;60+;591234;50094
E;16_O_S;00-29;439823;23843
E;16_O_S;30-39;626478;28905
E;16_O_S;40-49;588764;31069
E;16_O_S;50-59;589348;30513
E;16_O_S;60+;238558;34987
E;03_B_E;E;2809986;44558
E;07_G_N;E;9111433;40305
E;16_O_S;E;2482971;29489
F;04_BDE;00-29;15396;29558
F;04_BDE;30-39;18563;53141
F;04_BDE;40-49;21654;55978
F;04_BDE;50-59;15904;51942
F;04_BDE;60+;3875;43334
F;05_C;00-29;107508;25499
F;05_C;30-39;124615;40162
F;05_C;40-49;170258;45372
F;05_C;50-59;208266;40627
F;05_C;60+;31135;49623
F;06_F;00-29;17061;32664
F;06_F;30-39;21351;44246
F;06_F;40-49;37981;37061
F;06_F;50-59;17931;42308
F;06_F;60+;7933;53698
F;08_G;00-29;340729;22390
F;08_G;30-39;248912;32583
F;08_G;40-49;258728;37287
F;08_G;50-59;197917;37523
F;08_G;60+;81192;31619
F;09_H;00-29;38068;30248
F;09_H;30-39;85701;33109
F;09_H;40-49;135638;35796
F;09_H;50-59;94466;38873
F;09_H;60+;29757;39584
F;10_I;00-29;167114;17725
F;10_I;30-39;62212;28898
F;10_I;40-49;33467;33055
F;10_I;50-59;54632;28139
F;10_I;60+;15519;32090
F;11_J;00-29;60841;37676
F;11_J;30-39;83785;47683
F;11_J;40-49;50626;60271
F;11_J;50-59;45696;58740
F;11_J;60+;16788;75684
F;12_K;00-29;80876;35026
F;12_K;30-39;131123;46135
F;12_K;40-49;118918;60557
F;12_K;50-59;76951;62720
F;12_K;60+;30926;69429
F;13_L;00-29;20560;26746
F;13_L;30-39;24544;37087
F;13_L;40-49;26478;41056
F;13_L;50-59;22306;47118
F;13_L;60+;9460;37559
F;14_M;00-29;134405;32634
F;14_M;30-39;156960;48678
F;14_M;40-49;119375;54206
F;14_M;50-59;97052;53641
F;14_M;60+;22258;55787
F;15_N;00-29;163771;25080
F;15_N;30-39;192567;30138
F;15_N;40-49;214459;26320
F;15_N;50-59;247398;23946
F;15_N;60+;80630;21229
F;17_O;00-29;21519;27191
F;17_O;30-39;45634;28310
F;17_O;40-49;81054;34644
F;17_O;50-59;41117;39507
F;17_O;60+;10474;48630
F;18_P;00-29;6012;20496
F;18_P;30-39;10526;28848
F;18_P;40-49;10518;34675
F;18_P;50-59;7426;28090
F;18_P;60+;2329;29924
F;19_Q;00-29;207502;24554
F;19_Q;30-39;350070;27244
F;19_Q;40-49;323263;26822
F;19_Q;50-59;331223;26863
F;19_Q;60+;121506;29655
F;20_R;00-29;34050;19911
F;20_R;30-39;16771;33215
F;20_R;40-49;17284;45047
F;20_R;50-59;10821;38287
F;20_R;60+;6122;40706
F;21_S;00-29;26840;23692
F;21_S;30-39;25379;32589
F;21_S;40-49;30641;31254
F;21_S;50-59;50846;26692
F;21_S;60+;18845;22734
H;04_BDE;00-29;45287;31288
H;04_BDE;30-39;71751;48535
H;04_BDE;40-49;64535;50163
H;04_BDE;50-59;75179;51269
H;04_BDE;60+;7901;72870
H;05_C;00-29;291951;27501
H;05_C;30-39;390260;40763
H;05_C;40-49;490387;47968
H;05_C;50-59;542591;49551
H;05_C;60+;112969;81338
H;06_F;00-29;194064;26754
H;06_F;30-39;231214;36822
H;06_F;40-49;219103;41997
H;06_F;50-59;179092;43023
H;06_F;60+;57504;41072
H;08_G;00-29;381471;23020
H;08_G;30-39;285522;40930
H;08_G;40-49;289099;44607
H;08_G;50-59;305559;50315
H;08_G;60+;50937;62351
H;09_H;00-29;123348;25879
H;09_H;30-39;195919;35305
H;09_H;40-49;264633;39407
H;09_H;50-59;250142;41381
H;09_H;60+;71368;38676
H;10_I;00-29;159980;19311
H;10_I;30-39;53595;33676
H;10_I;40-49;56584;36698
H;10_I;50-59;56335;38369
H;10_I;60+;17634;33129
H;11_J;00-29;118512;38102
H;11_J;30-39;178932;54418
H;11_J;40-49;117277;67266
H;11_J;50-59;88218;77009
H;11_J;60+;30645;94221
H;12_K;00-29;53070;40080
H;12_K;30-39;87933;62956
H;12_K;40-49;74072;94162
H;12_K;50-59;64291;101011
H;12_K;60+;22647;115614
H;13_L;00-29;10665;30496
H;13_L;30-39;12939;48338
H;13_L;40-49;24611;48443
H;13_L;50-59;22450;50561
H;13_L;60+;6061;49905
H;14_M;00-29;147635;35404
H;14_M;30-39;202161;55851
H;14_M;40-49;136973;66594
H;14_M;50-59;117844;69782
H;14_M;60+;37390;103416
H;15_N;00-29;205966;26263
H;15_N;30-39;230691;32754
H;15_N;40-49;257288;32383
H;15_N;50-59;160207;37256
H;15_N;60+;68021;34982
H;17_O;00-29;2132;31213
H;17_O;30-39;9645;35956
H;17_O;40-49;11456;42128
H;17_O;50-59;20082;37678
H;17_O;60+;3033;59044
H;18_P;00-29;8526;25470
H;18_P;30-39;4253;36860
H;18_P;40-49;5730;35077
H;18_P;50-59;3578;48122
H;18_P;60+;8266;36021
H;19_Q;00-29;71883;21019
H;19_Q;30-39;109894;26128
H;19_Q;40-49;71571;32110
H;19_Q;50-59;77686;31495
H;19_Q;60+;48181;38962
H;20_R;00-29;31961;29995
H;20_R;30-39;21730;45657
H;20_R;40-49;16291;54802
H;20_R;50-59;23330;51278
H;20_R;60+;7706;100258
H;21_S;00-29;29399;20932
H;21_S;30-39;32578;37468
H;21_S;40-49;20957;39952
H;21_S;50-59;23239;39200
H;21_S;60+;12096;29761
F;04_BDE;E;75392;48368
F;05_C;E;641781;39693
F;06_F;E;102256;40038
F;08_G;E;1127479;31322
F;09_H;E;383631;35600
F;10_I;E;332944;23732
F;11_J;E;257737;51575
F;12_K;E;438794;52550
F;13_L;E;103348;38250
F;14_M;E;530051;47060
F;15_N;E;898825;25802
F;17_O;E;199798;34131
F;18_P;E;36809;29063
F;19_Q;E;1333563;26848
F;20_R;E;85048;31476
F;21_S;E;152552;27571
H;04_BDE;E;264653;47484
H;05_C;E;1828159;45686
H;06_F;E;880977;37414
H;08_G;E;1312588;39550
H;09_H;E;905409;37125
H;10_I;E;344128;28233
H;11_J;E;533584;59640
H;12_K;E;302013;78623
H;13_L;E;76725;46670
H;14_M;E;642003;58747
H;15_N;E;922173;32145
H;17_O;E;46347;39520
