SEXE;REG_NAF;TR_ANC;NB_POSTES;REMU_TOT_ANNU
F;01_B_S;00-05;3711970;29960
F;01_B_S;06-09;758616;35409
F;01_B_S;10-14;698392;38531
F;01_B_S;15-19;577587;39689
F;01_B_S;20-29;643000;42070
F;01_B_S;30+;310443;45831
H;01_B_S;00-05;4626291;35783
H;01_B_S;06-09;986912;46460
H;01_B_S;10-14;958230;50023
H;01_B_S;15-19;701294;51877
H;01_B_S;20-29;921943;52957
H;01_B_S;30+;492943;59119
F;01_B_S;E;6700009;34195
H;01_B_S;E;8687613;42996
E;01_B_S;00-05;8338261;33194
E;01_B_S;06-09;1745528;41649
E;01_B_S;10-14;1656622;45174
E;01_B_S;15-19;1278882;46367
E;01_B_S;20-29;1564944;48489
E;01_B_S;30+;803385;54021
E;01_B_S;E;15387622;39166
F;02_B_N;00-05;2765495;31465
F;02_B_N;06-09;502739;39902
F;02_B_N;10-14;476622;42893
F;02_B_N;15-19;403544;43745
F;02_B_N;20-29;499353;44016
F;02_B_N;30+;244486;47021
H;02_B_N;00-05;4220994;36345
H;02_B_N;06-09;928248;47083
H;02_B_N;10-14;875274;51593
H;02_B_N;15-19;643137;53165
H;02_B_N;20-29;873125;53213
H;02_B_N;30+;471635;59553
F;02_B_N;E;4892238;36505
H;02_B_N;E;8012413;43792
E;02_B_N;00-05;6986489;34417
E;02_B_N;06-09;1430986;44555
E;02_B_N;10-14;1351896;48525
E;02_B_N;15-19;1046681;49529
E;02_B_N;20-29;1372478;49875
E;02_B_N;30+;716121;55325
E;02_B_N;E;12904651;41034
F;03_B_E;00-05;314536;34753
F;03_B_E;06-09;77510;43976
F;03_B_E;10-14;89585;46080
F;03_B_E;15-19;65579;50179
F;03_B_E;20-29;103271;45448
F;03_B_E;30+;66692;39952
F;07_G_N;00-05;2393049;30955
F;07_G_N;06-09;409474;39068
F;07_G_N;10-14;373320;41948
F;07_G_N;15-19;330817;42502
F;07_G_N;20-29;390668;43374
