SEXE;REG_NAF;B25;NB_POSTES;REMU_TOT_ANNU
F;01_B_S;G1;1286848;23555
F;01_B_S;G2;2393481;27596
F;01_B_S;G3;2101954;37633
F;01_B_S;G4;917725;58413
H;01_B_S;G1;1896276;30157
H;01_B_S;G2;3474407;34718
H;01_B_S;G3;2035933;48086
H;01_B_S;G4;1280998;76259
F;01_B_S;E;6700009;34195
H;01_B_S;E;8687613;42996
E;01_B_S;G1;3183124;27485
E;01_B_S;G2;5867887;31813
E;01_B_S;G3;4137887;42788
E;01_B_S;G4;2198723;68807
E;01_B_S;E;15387622;39166
F;02_B_N;G1;988950;24739
F;02_B_N;G2;1672774;28884
F;02_B_N;G3;1472480;40407
F;02_B_N;G4;758034;61030
H;02_B_N;G1;1726874;31289
H;02_B_N;G2;3225173;35144
H;02_B_N;G3;1873712;48940
H;02_B_N;G4;1186654;77251
F;02_B_N;E;4892238;36505
H;02_B_N;E;8012413;43792
E;02_B_N;G1;2715824;28901
E;02_B_N;G2;4897947;33009
E;02_B_N;G3;3346191;45201
E;02_B_N;G4;1944688;70925
E;02_B_N;E;12904651;41034
F;03_B_E;G1;113944;31744
F;03_B_E;G2;285587;31275
F;03_B_E;G3;198613;43749
F;03_B_E;G4;119030;66165
F;07_G_N;G1;868665;23730
F;07_G_N;G2;1342963;28241
F;07_G_N;G3;1234959;39760
F;07_G_N;G4;626223;60171
F;16_O_S;G1;297898;19637
F;16_O_S;G2;720706;24626
F;16_O_S;G3;629475;31196
F;16_O_S;G4;159691;45989
H;03_B_E;G1;385376;33130
H;03_B_E;G2;939786;38031
H;03_B_E;G3;518152;50862
H;03_B_E;G4;249498;84933
H;07_G_N;G1;1106951;30654
H;07_G_N;G2;1817623;33658
H;07_G_N;G3;1220621;48371
H;07_G_N;G4;893429;75650
H;16_O_S;G1;169402;18659
H;16_O_S;G2;249234;29196
H;16_O_S;G3;162221;38178
H;16_O_S;G4;94344;63797
F;03_B_E;E;717173;40604
F;07_G_N;E;4072809;35690
F;16_O_S;E;1807771;27977
H;03_B_E;E;2092812;45914
H;07_G_N;E;5038624;44024
H;16_O_S;E;675200;33546
E;03_B_E;G1;499320;32813
E;03_B_E;G2;1225373;36457
E;03_B_E;G3;716765;48890
E;03_B_E;G4;368528;78868
E;07_G_N;G1;1975616;27610
E;07_G_N;G2;3160586;31359
E;07_G_N;G3;2455580;44060
E;07_G_N;G4;1519652;69267
E;16_O_S;G1;467300;19282
E;16_O_S;G2;969940;25796
E;16_O_S;G3;791696;32622
E;16_O_S;G4;254035;52606
E;03_B_E;E;2809986;44558
E;07_G_N;E;9111433;40305
E;16_O_S;E;2482971;29489
F;04_BDE;G1;11345;41969
F;04_BDE;G2;18674;38417
F;04_BDE;G3;24894;43564
F;04_BDE;G4;20480;66715
F;05_C;G1;102599;30607
F;05_C;G2;266913;30781
F;05_C;G3;173720;43775
F;05_C;G4;98550;66050
F;06_F;G1;6342;37297
F;06_F;G2;44225;32827
F;06_F;G3;38908;43675
F;06_F;G4;12782;55283
F;08_G;G1;163462;26789
F;08_G;G2;568778;25817
F;08_G;G3;315738;36368
F;08_G;G4;79501;60635
F;09_H;G1;70897;33408
F;09_H;G2;175122;32505
F;09_H;G3;111619;38443
F;09_H;G4;25993;48967
F;10_I;G1;104526;22179
F;10_I;G2;159201;22088
F;10_I;G3;62309;28073
F;10_I;G4;6908;45966
F;11_J;G1;29532;52121
F;11_J;G2;36013;42015
F;11_J;G3;83830;44740
F;11_J;G4;108362;59897
F;12_K;G1;24455;44648
F;12_K;G2;70221;46904
F;12_K;G3;236295;47737
F;12_K;G4;107824;68574
F;13_L;G1;6215;31631
F;13_L;G2;29270;33905
F;13_L;G3;52640;37933
F;13_L;G4;15223;50365
F;14_M;G1;25348;28873
F;14_M;G2;71675;33806
F;14_M;G3;216797;40965
F;14_M;G4;216231;59703
F;15_N;G1;444231;18022
F;15_N;G2;232682;25145
F;15_N;G3;155730;36176
F;15_N;G4;66182;56034
F;17_O;G1;20773;32476
F;17_O;G2;73689;33522
F;17_O;G3;86956;33581
F;17_O;G4;18379;41060
F;18_P;G1;2398;17175
F;18_P;G2;11001;23022
F;18_P;G3;16672;31025
