SEXE;REG_NAF;REG;NB_POSTES;REMU_TOT_ANNU
F;01_B_S;FR1;1724962;44383
F;01_B_S;FRB;232834;30566
F;01_B_S;FRC;214920;29533
F;01_B_S;FRD;285952;30570
F;01_B_S;FRE;530652;29748
F;01_B_S;FRF;517106;29156
F;01_B_S;FRG;406493;29632
F;01_B_S;FRH;301304;31272
F;01_B_S;FRI;542004;29783
F;01_B_S;FRJ;508477;30940
F;01_B_S;FRK;807119;32817
F;01_B_S;FRL;500845;31544
F;01_B_S;FRY;127339;30279
H;01_B_S;FR1;2284630;55518
H;01_B_S;FRB;275514;37292
H;01_B_S;FRC;335958;36795
H;01_B_S;FRD;377779;38144
H;01_B_S;FRE;740324;36818
H;01_B_S;FRF;617104;39318
H;01_B_S;FRG;549484;37856
H;01_B_S;FRH;416273;36378
H;01_B_S;FRI;603443;37993
H;01_B_S;FRJ;679519;38140
H;01_B_S;FRK;1067648;41090
H;01_B_S;FRL;593277;40495
H;01_B_S;FRY;146659;37079
F;01_B_S;E;6700009;34195
H;01_B_S;E;8687613;42996
E;01_B_S;FR1;4009592;50729
E;01_B_S;FRB;508348;34213
E;01_B_S;FRC;550878;33957
E;01_B_S;FRD;663731;34863
E;01_B_S;FRE;1270976;33866
E;01_B_S;FRF;1134210;34682
E;01_B_S;FRG;955978;34358
E;01_B_S;FRH;717578;34234
E;01_B_S;FRI;1145447;34114
E;01_B_S;FRJ;1187996;35058
E;01_B_S;FRK;1874767;37548
E;01_B_S;FRL;1094123;36395
E;01_B_S;FRY;273998;33911
E;01_B_S;E;15387622;39166
F;02_B_N;FR1;1369416;47512
F;02_B_N;FRB;159987;32550
F;02_B_N;FRC;156929;31136
F;02_B_N;FRD;190088;32243
F;02_B_N;FRE;397213;31049
F;02_B_N;FRF;335898;30793
F;02_B_N;FRG;269804;32348
F;02_B_N;FRH;242559;31959
F;02_B_N;FRI;364446;31296
F;02_B_N;FRJ;352486;31929
F;02_B_N;FRK;627924;34153
F;02_B_N;FRL;343844;33505
F;02_B_N;FRY;81644;30676
H;02_B_N;FR1;2155432;56119
H;02_B_N;FRB;249256;38248
H;02_B_N;FRC;309676;36842
H;02_B_N;FRD;345380;38867
H;02_B_N;FRE;679303;37567
H;02_B_N;FRF;573514;39910
H;02_B_N;FRG;524394;38020
H;02_B_N;FRH;388233;36828
H;02_B_N;FRI;528139;39268
H;02_B_N;FRJ;616861;39030
H;02_B_N;FRK;997242;41484
H;02_B_N;FRL;515236;42491
