SEXE;REG_NAF;A12;NB_POSTES;REMU_TOT_ANNU
F;01_B_S;E1000;2190792;37834
F;01_B_S;E10_49;1723302;29565
F;01_B_S;E1_9;so;so
F;01_B_S;E250_499;671216;34644
F;01_B_S;E500_999;590908;36360
F;01_B_S;E50_249;1523791;33224
H;01_B_S;E1000;2745234;47325
H;01_B_S;E10_49;2292458;36745
H;01_B_S;E1_9;so;so
H;01_B_S;E250_499;772959;46297
H;01_B_S;E500_999;783632;46711
H;01_B_S;E50_249;2093331;41584
F;01_B_S;E;6700009;34195
H;01_B_S;E;8687613;42996
E;01_B_S;E1000;4936026;43127
E;01_B_S;E10_49;4015759;33662
E;01_B_S;E250_499;1444175;40878
E;01_B_S;E500_999;1374540;42255
E;01_B_S;E50_249;3617122;38058
E;01_B_S;E;15387622;39166
F;02_B_N;E1000;1745063;39903
F;02_B_N;E10_49;1259028;31595
F;02_B_N;E1_9;so;so
F;02_B_N;E250_499;436738;37671
F;02_B_N;E500_999;379013;40522
F;02_B_N;E50_249;1072397;34933
H;02_B_N;E1000;2563684;48427
H;02_B_N;E10_49;2106670;37067
H;02_B_N;E1_9;so;so
H;02_B_N;E250_499;699937;47776
H;02_B_N;E500_999;725296;47609
H;02_B_N;E50_249;1916825;42117
F;02_B_N;E;4892238;36505
H;02_B_N;E;8012413;43792
E;02_B_N;E1000;4308747;44993
E;02_B_N;E10_49;3365698;35019
E;02_B_N;E250_499;1136675;43895
E;02_B_N;E500_999;1104309;45176
E;02_B_N;E50_249;2989222;39536
E;02_B_N;E;12904651;41034
F;03_B_E;E1000;206011;52676
F;03_B_E;E10_49;166907;28454
F;03_B_E;E1_9;so;so
F;03_B_E;E250_499;99525;43326
F;03_B_E;E500_999;60481;44596
F;03_B_E;E50_249;184250;35366
F;07_G_N;E1000;1520239;38075
F;07_G_N;E10_49;1042062;31853
F;07_G_N;E1_9;so;so
F;07_G_N;E250_499;330135;35761
F;07_G_N;E500_999;313651;39676
F;07_G_N;E50_249;866722;34727
F;16_O_S;E1000;445730;29846
F;16_O_S;E10_49;464273;24060
F;16_O_S;E1_9;so;so
F;16_O_S;E250_499;234479;29006
F;16_O_S;E500_999;211895;28959
F;16_O_S;E50_249;451394;29167
H;03_B_E;E1000;675157;56056
H;03_B_E;E10_49;420525;34516
H;03_B_E;E1_9;so;so
H;03_B_E;E250_499;255011;46147
H;03_B_E;E500_999;199535;49419
H;03_B_E;E50_249;542585;40735
H;07_G_N;E1000;1725713;46004
H;07_G_N;E10_49;1294430;38843
H;07_G_N;E1_9;so;so
H;07_G_N;E250_499;375456;49749
H;07_G_N;E500_999;453278;47921
H;07_G_N;E50_249;1189747;43528
H;16_O_S;E1000;181549;31825
H;16_O_S;E10_49;185788;33100
H;16_O_S;E1_9;so;so
H;16_O_S;E250_499;73022;31871
H;16_O_S;E500_999;58336;35630
H;16_O_S;E50_249;176506;35785
F;03_B_E;E;717173;40604
F;07_G_N;E;4072809;35690
F;16_O_S;E;1807771;27977
H;03_B_E;E;2092812;45914
H;07_G_N;E;5038624;44024
H;16_O_S;E;675200;33546
E;03_B_E;E1000;881168;55265
E;03_B_E;E10_49;587432;32794
E;03_B_E;E250_499;354536;45355
E;03_B_E;E500_999;260015;48308
E;03_B_E;E50_249;726835;39369
E;07_G_N;E1000;3245952;42308
E;07_G_N;E10_49;2336492;35725
E;07_G_N;E250_499;705591;43209
E;07_G_N;E500_999;766928;44544
E;07_G_N;E50_249;2056470;39817
E;16_O_S;E1000;627279;30419
E;16_O_S;E10_49;650061;26644
E;16_O_S;E250_499;307500;29678
E;16_O_S;E500_999;270231;30400
E;16_O_S;E50_249;627899;31023
E;03_B_E;E;2809986;44558
E;07_G_N;E;9111433;40305
E;16_O_S;E;2482971;29489
F;04_BDE;E1000;51580;54361
F;04_BDE;E10_49;3956;37495
F;04_BDE;E1_9;so;so
F;04_BDE;E250_499;3743;37990
F;04_BDE;E500_999;2588;46870
F;04_BDE;E50_249;13526;31830
F;05_C;E1000;154431;52113
F;05_C;E10_49;162951;28234
F;05_C;E1_9;so;so
F;05_C;E250_499;95782;43535
F;05_C;E500_999;57892;44502
F;05_C;E50_249;170725;35647
F;06_F;E1000;18813;45505
F;06_F;E10_49;50059;36717
F;06_F;E1_9;so;so
F;06_F;E250_499;7078;47133
F;06_F;E500_999;4882;44943
F;06_F;E50_249;21424;39539
F;08_G;E1000;327772;30575
F;08_G;E10_49;326375;29535
F;08_G;E1_9;so;so
F;08_G;E250_499;116470;29366
F;08_G;E500_999;75333;39890
F;08_G;E50_249;281529;32774
F;09_H;E1000;276975;36528
F;09_H;E10_49;34406;30402
F;09_H;E1_9;so;so
F;09_H;E250_499;18415;35450
F;09_H;E500_999;20688;34189
F;09_H;E50_249;33147;34531
F;10_I;E1000;71569;24894
F;10_I;E10_49;164451;24223
F;10_I;E1_9;so;so
F;10_I;E250_499;6653;31364
F;10_I;E500_999;17621;27421
F;10_I;E50_249;72649;19883
F;11_J;E1000;98596;56640
F;11_J;E10_49;50685;46086
F;11_J;E1_9;so;so
F;11_J;E250_499;23107;49522
F;11_J;E500_999;19683;48694
F;11_J;E50_249;65667;49793
F;12_K;E1000;300982;51314
F;12_K;E10_49;45080;46265
F;12_K;E1_9;so;so
