SEXE,REG_NAF,data_type,category,NB_POSTES,REMU_TOT_ANNU
F,01_B_S,age,00-29,1442250,25502
F,01_B_S,age,30-39,1598715,35400
F,01_B_S,age,40-49,1650342,38168
F,01_B_S,age,50-59,1519953,36093
F,01_B_S,age,60+,488749,36722
H,01_B_S,age,00-29,1875849,27017
H,01_B_S,age,30-39,2119016,41852
H,01_B_S,age,40-49,2120567,46960
H,01_B_S,age,50-59,2009823,49998
H,01_B_S,age,60+,562359,60822
F,01_B_S,age,E,6700009,34195
H,01_B_S,age,E,8687613,42996
E,01_B_S,age,00-29,3318099,26358
E,01_B_S,age,30-39,3717730,39075
E,01_B_S,age,40-49,3770909,43121
E,01_B_S,age,50-59,3529776,44004
E,01_B_S,age,60+,1051108,49679
E,01_B_S,age,E,15387622,39166
F,02_B_N,age,00-29,1146328,25877
F,02_B_N,age,30-39,1150335,38317
F,02_B_N,age,40-49,1187583,41640
F,02_B_N,age,50-59,1078520,39292
F,02_B_N,age,60+,329473,39782
H,02_B_N,age,00-29,1731948,27315
H,02_B_N,age,30-39,1940917,42803
H,02_B_N,age,40-49,1994562,47567
H,02_B_N,age,50-59,1861909,51033
H,02_B_N,age,60+,483078,63595
F,02_B_N,age,E,4892238,36505
H,02_B_N,age,E,8012413,43792
E,02_B_N,age,00-29,2878276,26743
E,02_B_N,age,30-39,3091252,41132
E,02_B_N,age,40-49,3182145,45364
E,02_B_N,age,50-59,2940428,46725
E,02_B_N,age,60+,812550,54033
E,02_B_N,age,E,12904651,41034
F,03_B_E,age,00-29,122904,26007
F,03_B_E,age,30-39,143178,41828
F,03_B_E,age,40-49,191912,46569
F,03_B_E,age,50-59,224169,41432
F,03_B_E,age,60+,35010,48923
F,07_G_N,age,00-29,1006363,25746
F,07_G_N,age,30-39,985806,37680
F,07_G_N,age,40-49,957690,40823
F,07_G_N,age,50-59,836420,38651
F,07_G_N,age,60+,286530,38254
F,16_O_S,age,00-29,295922,24051
F,16_O_S,age,30-39,448379,27916
F,16_O_S,age,40-49,462759,29346
F,16_O_S,age,50-59,441434,28323
F,16_O_S,age,60+,159277,30513
H,03_B_E,age,00-29,337238,28010
H,03_B_E,age,30-39,462012,41972
H,03_B_E,age,40-49,554922,48225
H,03_B_E,age,50-59,617770,49760
H,03_B_E,age,60+,120870,80784
H,07_G_N,age,00-29,1200645,27211
H,07_G_N,age,30-39,1247692,44218
H,07_G_N,age,40-49,1220537,48262
H,07_G_N,age,50-59,1065046,53126
H,07_G_N,age,60+,304704,61030
H,16_O_S,age,00-29,143901,23416
H,16_O_S,age,30-39,178099,31414
H,16_O_S,age,40-49,126005,37395
H,16_O_S,age,50-59,147915,37054
H,16_O_S,age,60+,79281,43977
F,03_B_E,age,E,717173,40604
F,07_G_N,age,E,4072809,35690
F,16_O_S,age,E,1807771,27977
H,03_B_E,age,E,2092812,45914
H,07_G_N,age,E,5038624,44024
H,16_O_S,age,E,675200,33546
